model,fpr,tpr
logistic_regression,0.35851739501374535,0.5788546255506608
logistic_regression,0.35861219072897904,0.5797356828193833
logistic_regression,0.35927576073561474,0.5806167400881057
logistic_regression,0.3602237178879515,0.5823788546255506
logistic_regression,0.3618352450469239,0.5832599118942732
logistic_regression,0.3634467722058963,0.5850220264317181
logistic_regression,0.3666698265238411,0.5859030837004405
logistic_regression,0.37036685941795433,0.5876651982378854
logistic_regression,0.3720731822921604,0.5885462555066079
logistic_regression,0.3731159351597308,0.5903083700440529
logistic_regression,0.3741586880273012,0.5911894273127754
logistic_regression,0.3747274623187032,0.5920704845814978
logistic_regression,0.3794672480803868,0.5938325991189427
logistic_regression,0.3799412266565551,0.5947136563876652
logistic_regression,0.3836382595506683,0.5964757709251102
logistic_regression,0.384586216703005,0.5973568281938326
logistic_regression,0.3850601952791734,0.5991189427312775
logistic_regression,0.3862925395772111,0.6
logistic_regression,0.3870509052990805,0.6017621145374449
logistic_regression,0.39036875533225895,0.6026431718061674
logistic_regression,0.3931178310740355,0.6035242290748899
logistic_regression,0.3952981325244099,0.6052863436123348
logistic_regression,0.39946914399469147,0.6061674008810573
logistic_regression,0.40079628400796286,0.6079295154185022
logistic_regression,0.40250260688216893,0.6088105726872247
logistic_regression,0.40278699402786994,0.6105726872246696
logistic_regression,0.4040193383259077,0.6114537444933921
logistic_regression,0.404777704047777,0.613215859030837
logistic_regression,0.4058204569153474,0.6140969162995594
logistic_regression,0.40819034979618923,0.614977973568282
logistic_regression,0.40970708123992794,0.6167400881057269
logistic_regression,0.41037065124656363,0.6176211453744493
logistic_regression,0.4107498341074983,0.6202643171806167
logistic_regression,0.4117925869750687,0.6211453744493393
logistic_regression,0.4119821784055361,0.6229074889867842
logistic_regression,0.417480329889089,0.6237885462555066
logistic_regression,0.4188074699023604,0.6246696035242291
logistic_regression,0.42003981420039815,0.626431718061674
logistic_regression,0.42089297563750117,0.6273127753303964
logistic_regression,0.4218409327898379,0.6290748898678414
logistic_regression,0.4234524599488103,0.6299559471365639
logistic_regression,0.4239264385249787,0.6317180616740088
logistic_regression,0.42563276139918477,0.6325991189427312
logistic_regression,0.42658071855152147,0.6343612334801763
logistic_regression,0.4280974499952602,0.6352422907488987
logistic_regression,0.42838183714096123,0.6361233480176212
logistic_regression,0.4287610200018959,0.6378854625550661
logistic_regression,0.4297089771542326,0.6387665198237885
logistic_regression,0.4299933642999336,0.6405286343612335
logistic_regression,0.4369134515119917,0.641409691629956
logistic_regression,0.4384301829557304,0.6431718061674009
logistic_regression,0.43937814010806714,0.6440528634361233
logistic_regression,0.4397573229690018,0.6458149779735682
logistic_regression,0.443738743008816,0.6466960352422908
logistic_regression,0.44553986159825576,0.6475770925110133
logistic_regression,0.44620343160489145,0.6493392070484582
logistic_regression,0.4547350459759219,0.6502202643171806
logistic_regression,0.4552090245520902,0.6519823788546255
logistic_regression,0.4558725945587259,0.652863436123348
logistic_regression,0.4560621859891933,0.654625550660793
logistic_regression,0.45862167030050244,0.6555066079295154
logistic_regression,0.4603279931747085,0.6572687224669603
logistic_regression,0.4629822732012513,0.6581497797356828
logistic_regression,0.463077068916485,0.6590308370044052
logistic_regression,0.46317186463171867,0.6607929515418502
logistic_regression,0.46544696179732675,0.6616740088105727
logistic_regression,0.46648971466489714,0.6634361233480176
logistic_regression,0.46715328467153283,0.66431718061674
logistic_regression,0.4679116503934022,0.6660792951541851
logistic_regression,0.4683856289695706,0.6669603524229075
logistic_regression,0.47009195184377667,0.6687224669603524
logistic_regression,0.47170347900274906,0.6696035242290749
logistic_regression,0.47208266186368375,0.6704845814977973
logistic_regression,0.47303061901602045,0.6722466960352423
logistic_regression,0.4738837804531235,0.6731277533039648
logistic_regression,0.4741681675988245,0.6748898678414097
logistic_regression,0.47767560906247036,0.6757709251101321
logistic_regression,0.4786235662148071,0.677533039647577
logistic_regression,0.4811830505261162,0.6792951541850221
logistic_regression,0.48345814769172435,0.681057268722467
logistic_regression,0.48506967485069674,0.6819383259911894
logistic_regression,0.4879135463077069,0.6837004405286343
logistic_regression,0.4882927291686416,0.6854625550660793
logistic_regression,0.4885771163143426,0.6863436123348018
logistic_regression,0.48876670774480996,0.6881057268722467
logistic_regression,0.48943027775144565,0.6889867841409691
