threshold,precision,recall,f1
0.0547548587408962,0.21226232052774544,0.4819383259911894,0.2947198275862069
0.054759171824794,0.2123447204968944,0.4819383259911894,0.2947992454863918
0.0547598224396523,0.2120388349514563,0.48105726872246696,0.2943396226415094
0.0547714382112492,0.21212121212121213,0.48105726872246696,0.294418980857374
0.0547851711089031,0.2122036533229693,0.48105726872246696,0.29449838187702265
0.0548118843561836,0.21228615863141523,0.48105726872246696,0.2945778257350957
0.0549214868631227,0.21236872812135357,0.48105726872246696,0.2946573124662709
0.0550464935699946,0.21245136186770427,0.48105726872246696,0.2947368421052632
0.0551087645049632,0.2125340599455041,0.48105726872246696,0.29481641468682507
0.055125985263364,0.21261682242990654,0.48105726872246696,0.2948960302457467
0.0551433615633573,0.21231008959875342,0.4801762114537445,0.29443544030253915
0.055146522531838,0.21200311769290725,0.479295154185022,0.2939746014590651
0.0551514728518455,0.21208576998050682,0.479295154185022,0.294054054054054
0.0551631405854987,0.2121684867394696,0.479295154185022,0.29413354960800214
0.0551935476324019,0.21186110027311744,0.47841409691629955,0.29367225527312063
0.0552212860119431,0.21194379391100704,0.47841409691629955,0.29375169055991346
0.0552375666141064,0.21202655212807497,0.47841409691629955,0.29383116883116883
0.0553729843618358,0.212109375,0.47841409691629955,0.29391069012178617
0.0554249045998581,0.21219226260257915,0.47841409691629955,0.2939902544667028
0.0554381240221811,0.2122752150117279,0.47841409691629955,0.29406986190089357
0.0554402418753623,0.21235823230348064,0.47841409691629955,0.2941495124593716
0.0554688875474988,0.21244131455399062,0.47841409691629955,0.29422920617718773
0.0554917259993727,0.21252446183953033,0.47841409691629955,0.2943089430894309
0.0554938001699725,0.21221613155833985,0.4775330396475771,0.2938465708864191
0.0555315110109773,0.21229925577751665,0.4775330396475771,0.29392624728850325
0.0555335811198965,0.21238244514106583,0.4775330396475771,0.2940059669107675
0.055546389247339,0.2124656997255978,0.4775330396475771,0.29408572978838854
0.0555511768764385,0.21254901960784314,0.4775330396475771,0.29416553595658074
0.0555600070176332,0.21263240486465282,0.4775330396475771,0.29424538545059714
0.0556003039441875,0.21232339089481947,0.47665198237885464,0.2937822427368993
0.0556182138498063,0.21201413427561838,0.47577092511013214,0.2933188484519283
0.0556564646983896,0.21209740769835037,0.47577092511013214,0.293398533007335
